name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace,cyclomatic
"R$anim.<init>()","android.support.design.R$anim.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,10,1684,N,"void R$anim.<init>()(class android.support.design.R$anim *this)",5,0.80,0.30,0,1,10,1
"R$attr.<init>()","android.support.design.R$attr.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,29,1684,N,"void R$attr.<init>()(class android.support.design.R$attr *this)",5,0.80,0.30,0,1,29,1
"R$bool.<init>()","android.support.design.R$bool.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,334,1684,N,"void R$bool.<init>()(class android.support.design.R$bool *this)",5,0.80,0.30,0,1,334,1
"R$color.<init>()","android.support.design.R$color.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,341,1684,N,"void R$color.<init>()(class android.support.design.R$color *this)",5,0.80,0.30,0,1,341,1
"R$dimen.<init>()","android.support.design.R$dimen.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,431,1684,N,"void R$dimen.<init>()(class android.support.design.R$dimen *this)",5,0.80,0.30,0,1,431,1
"R$drawable.<init>()","android.support.design.R$drawable.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,544,1684,N,"void R$drawable.<init>()(class android.support.design.R$drawable *this)",5,0.80,0.30,0,1,544,1
"R$id.<init>()","android.support.design.R$id.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,625,1684,N,"void R$id.<init>()(class android.support.design.R$id *this)",5,0.80,0.30,0,1,625,1
"R$integer.<init>()","android.support.design.R$integer.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,757,1684,N,"void R$integer.<init>()(class android.support.design.R$integer *this)",5,0.80,0.30,0,1,757,1
"R$layout.<init>()","android.support.design.R$layout.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,765,1684,N,"void R$layout.<init>()(class android.support.design.R$layout *this)",5,0.80,0.30,0,1,765,1
"R$string.<init>()","android.support.design.R$string.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,817,1684,N,"void R$string.<init>()(class android.support.design.R$string *this)",5,0.80,0.30,0,1,817,1
"R$style.<init>()","android.support.design.R$style.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,854,1684,N,"void R$style.<init>()(class android.support.design.R$style *this)",5,0.80,0.30,0,1,854,1
"void R$styleable.<clinit>()","android.support.design.R$styleable.<clinit>():void",0,0,SYMOPS TIMEOUT (334),334,0,app/build/generated/source/r/debug/android/support/design/R.java,1214,1684,N,"class java.lang.Object *void R$styleable.<clinit>()(class java.lang.String *field)",523,0.00,0.00,0,0,,1
"R$styleable.<init>()","android.support.design.R$styleable.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,1213,1684,N,"void R$styleable.<init>()(class android.support.design.R$styleable *this)",5,0.80,0.30,0,1,1213,1
"R.<init>()","android.support.design.R.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/design/R.java,9,1684,N,"void R.<init>()(class android.support.design.R *this)",5,0.80,0.30,0,1,9,1
"R$anim.<init>()","android.support.v7.appcompat.R$anim.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,10,1360,N,"void R$anim.<init>()(class android.support.v7.appcompat.R$anim *this)",5,0.80,0.30,0,1,10,1
"R$attr.<init>()","android.support.v7.appcompat.R$attr.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,22,1360,N,"void R$attr.<init>()(class android.support.v7.appcompat.R$attr *this)",5,0.80,0.30,0,1,22,1
"R$bool.<init>()","android.support.v7.appcompat.R$bool.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,249,1360,N,"void R$bool.<init>()(class android.support.v7.appcompat.R$bool *this)",5,0.80,0.30,0,1,249,1
"R$color.<init>()","android.support.v7.appcompat.R$color.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,256,1360,N,"void R$color.<init>()(class android.support.v7.appcompat.R$color *this)",5,0.80,0.30,0,1,256,1
"R$dimen.<init>()","android.support.v7.appcompat.R$dimen.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,336,1360,N,"void R$dimen.<init>()(class android.support.v7.appcompat.R$dimen *this)",5,0.80,0.30,0,1,336,1
"R$drawable.<init>()","android.support.v7.appcompat.R$drawable.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,417,1360,N,"void R$drawable.<init>()(class android.support.v7.appcompat.R$drawable *this)",5,0.80,0.30,0,1,417,1
"R$id.<init>()","android.support.v7.appcompat.R$id.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,496,1360,N,"void R$id.<init>()(class android.support.v7.appcompat.R$id *this)",5,0.80,0.30,0,1,496,1
"R$integer.<init>()","android.support.v7.appcompat.R$integer.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,595,1360,N,"void R$integer.<init>()(class android.support.v7.appcompat.R$integer *this)",5,0.80,0.30,0,1,595,1
"R$layout.<init>()","android.support.v7.appcompat.R$layout.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,601,1360,N,"void R$layout.<init>()(class android.support.v7.appcompat.R$layout *this)",5,0.80,0.30,0,1,601,1
"R$string.<init>()","android.support.v7.appcompat.R$string.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,641,1360,N,"void R$string.<init>()(class android.support.v7.appcompat.R$string *this)",5,0.80,0.30,0,1,641,1
"R$style.<init>()","android.support.v7.appcompat.R$style.<init>()",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,675,1360,N,"void R$style.<init>()(class android.support.v7.appcompat.R$style *this)",5,0.80,0.30,0,1,675,1
